,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@MinimalDuck @Tesla Cybertruck is something special that comes along once in a long while,19158,1099,2022-11-17 20:28:52+00:00
1,elonmusk,"@heydave7 Current class-action law is actually a massive tax on the American people and desperately needs reform. It is one of the reasons medication is so expensive in the USA.

Somehow, other countries do just fine without class-action law.",5667,547,2022-11-17 17:53:14+00:00
2,elonmusk,@heydave7 The actual attackers in class-action lawsuits are the law firms. They just find someone in the class to be their puppet.,7680,577,2022-11-17 17:50:20+00:00
3,elonmusk,@AutismCapital Ok,3731,112,2022-11-17 17:41:14+00:00
4,elonmusk,@chazman We’re working on something that should rank replies automatically,8652,454,2022-11-17 15:31:43+00:00
5,elonmusk,Twitter is like open-sourcing the news,249867,21591,2022-11-17 15:26:13+00:00
6,elonmusk,@dogeofficialceo Polycule 🔥🔥,11178,620,2022-11-17 15:24:04+00:00
7,elonmusk,@sama Probably,4533,211,2022-11-17 15:21:51+00:00
8,elonmusk,@Dilbert_Daily Even TikTok is super dependent on ads,15244,934,2022-11-17 15:21:10+00:00
9,elonmusk,"SBF is ineffective altruism, but they thought he was saying he was in effective altruism. Easy misunderstanding.",29998,2056,2022-11-17 15:15:23+00:00
10,elonmusk,@growing_daniel @jeremiahscholl I don’t wanna brag but … it’s true,3532,137,2022-11-17 15:11:47+00:00
11,elonmusk,@minliangtan Definitely,7762,279,2022-11-17 08:45:55+00:00
12,elonmusk,Not to mention the sickkk memes lol,96308,4305,2022-11-17 08:37:59+00:00
13,elonmusk,Coverage of FTX meltdown is incomparably faster *and* better quality on Twitter than old-school media,245132,23410,2022-11-17 08:35:22+00:00
14,elonmusk,@BillyM2k @adamscochran @accretionist Ability to do long tweets coming soon,14723,1196,2022-11-17 07:43:09+00:00
15,elonmusk,@westcoastbill https://t.co/O9quYfsUqV,3925,223,2022-11-17 07:24:53+00:00
16,elonmusk,"@AutismCapital It’s not his fault, society is to blame. Arrest society!",13978,906,2022-11-17 06:50:26+00:00
17,elonmusk,@SaladBarFan 🎯,13010,607,2022-11-17 05:04:19+00:00
18,elonmusk,@DavidSacks I believe in vice-signaling,13783,928,2022-11-17 03:34:42+00:00
19,elonmusk,"@laurenweinstein @stocktalkweekly Correct. I will continue to run Twitter until it is in a strong place, which will take some time.",7978,578,2022-11-17 03:32:28+00:00
20,elonmusk,@jack Magic 🎱 knows all,108156,5627,2022-11-17 03:30:38+00:00
21,elonmusk,@amitkgupta84 @Jason Literally working on that tonight,5057,227,2022-11-17 03:16:59+00:00
22,elonmusk,@paulg People have no idea how fast Twitter will evolve,25398,2151,2022-11-16 22:26:02+00:00
23,elonmusk,@WholeMarsBlog Yep,9433,462,2022-11-16 22:17:42+00:00
24,elonmusk,"@realGeorgeHotz @boing Sure, let’s talk.",9322,380,2022-11-16 20:23:08+00:00
25,elonmusk,"@jimmyfallon Wait a second, how do we know you’re not an alien body snatcher pretending to be Jimmy!? 

Say something that only the real Jimmy would say …",49701,1921,2022-11-16 18:56:33+00:00
26,elonmusk,@rising_serpent Why is that?,71873,3429,2022-11-16 17:25:25+00:00
27,elonmusk,@jimmyfallon Sounds like a job for @CommunityNotes!,10192,308,2022-11-16 17:19:54+00:00
28,elonmusk,"@bowx_ To heir is human, to forgive, divine (something like that)",6599,317,2022-11-16 13:55:43+00:00
29,elonmusk,@jimmyfallon Fix what?,170345,5893,2022-11-16 13:53:57+00:00
30,elonmusk,@Mrwhosetheboss Maybe,77888,1821,2022-11-16 13:45:50+00:00
31,elonmusk,@NASA @NASAArtemis @NASA_SLS @NASA_Orion Congratulations!!,39178,1785,2022-11-16 08:25:44+00:00
32,elonmusk,@JuliusSinghania @wongmjane X will be the everything app,7794,741,2022-11-16 07:17:56+00:00
33,elonmusk,@yukaichou I’m the taint haha,8629,360,2022-11-16 07:09:17+00:00
34,elonmusk,"@nichegamer @teslaownersSV @chicago_glenn @stillgray @dcherring Yeah, next-level 🤣🤣",2402,104,2022-11-16 07:07:09+00:00
35,elonmusk,@teslaownersSV @chicago_glenn @stillgray @dcherring @nichegamer Fasting + Ozempic/Wegovy + no tasty food near me,4332,281,2022-11-16 06:36:21+00:00
36,elonmusk,@chicago_glenn @stillgray @dcherring @nichegamer Down 30 lbs!,5541,193,2022-11-16 06:33:50+00:00
37,elonmusk,@jhall @stillgray @dcherring @nichegamer @Forbes Yup,2328,107,2022-11-16 06:33:19+00:00
38,elonmusk,@wongmjane 😉,23790,808,2022-11-16 06:07:05+00:00
39,elonmusk,"@stevenmarkryan My apologies, this will be fixed within a week, two at most",5189,231,2022-11-16 05:52:20+00:00
40,elonmusk,@stillgray @dcherring @nichegamer Agreed. What will matter in the future is how many Verified followers you have.,6327,500,2022-11-16 05:43:18+00:00
41,elonmusk,@teslaownersSV We’ll widen V11 beta before Thanksgiving,11733,772,2022-11-16 01:34:35+00:00
42,elonmusk,@dcherring @nichegamer Hard to say who’s celeb &amp; who isn’t. Being able to sort by follower count &amp; disallowing deliberate impersonation probably solves this.,4752,283,2022-11-16 01:24:51+00:00
43,elonmusk,@nichegamer All unpaid legacy Blue checkmarks will be removed in a few months,14593,1643,2022-11-16 00:03:07+00:00
44,elonmusk,"@RationalBlonde With new release, changing your verified name will cause loss of checkmark until name is confirmed by Twitter to meet Terms of Service",9813,592,2022-11-15 23:26:28+00:00
45,elonmusk,@RationalBlonde 🤣,11812,261,2022-11-15 23:24:25+00:00
46,elonmusk,@TweetsOfJee @RationalBlonde 🤣,24522,617,2022-11-15 23:23:37+00:00
47,elonmusk,Punting relaunch of Blue Verified to November 29th to make sure that it is rock solid,214695,14763,2022-11-15 23:18:02+00:00
48,elonmusk,@business False,170776,7711,2022-11-15 23:02:52+00:00
49,elonmusk,@mrjasonchoi @nytimes Interesting thread,12114,637,2022-11-15 22:57:09+00:00
50,elonmusk,"@SenBillNelson @NASA @SpaceX Much appreciated, SpaceX will not let NASA down!",42366,2341,2022-11-15 22:54:56+00:00
51,elonmusk,Important to admit when I’m wrong &amp; firing them was truly one of my biggest mistakes,438265,19669,2022-11-15 20:43:17+00:00
52,elonmusk,Welcoming back Ligma &amp; Johnson! https://t.co/LEhXV95Njj,726082,46938,2022-11-15 20:40:54+00:00
53,elonmusk,@BillyM2k Actual Silicon Valley is way crazier!,10457,570,2022-11-15 19:50:14+00:00
54,elonmusk,"@waitbutwhy This is just as a result of people living longer. Population collapse is already built-in, due to dramatically decreasing birth rates.",14752,1022,2022-11-15 19:36:37+00:00
55,elonmusk,@jack @micsolana 💯,8247,297,2022-11-15 19:31:39+00:00
56,elonmusk,@elonchieftwit False,3238,164,2022-11-15 19:29:21+00:00
57,elonmusk,@mualphaxi @micsolana @JTLonsdale @SenMarkey Much appreciated,11607,548,2022-11-15 19:28:37+00:00
58,elonmusk,@presidentbison @schrep Schrep is great,1927,78,2022-11-15 18:22:20+00:00
59,elonmusk,@libsoftiktok A tragic case of adult onset Tourette’s,72107,3833,2022-11-15 18:18:29+00:00
60,elonmusk,@catturd2 @WholeMarsBlog You make a compelling case,27236,1170,2022-11-15 18:14:09+00:00
61,elonmusk,@micsolana The injustice of it all 😭😭,35838,1337,2022-11-15 17:47:05+00:00
62,elonmusk,@ajtourville @unusual_whales Seriously,9362,247,2022-11-15 17:37:55+00:00
63,elonmusk,@chriskatje @unusual_whales Ligma &amp; Johnson are welcome back anytime,32352,1467,2022-11-15 17:32:41+00:00
64,elonmusk,@unusual_whales I would like to apologize for firing these geniuses. Their immense talent will no doubt be of great use elsewhere.,290541,19324,2022-11-15 17:24:45+00:00
65,elonmusk,@MuskUniversity (cue Obama giving himself a medal meme),4798,250,2022-11-15 17:15:42+00:00
66,elonmusk,@MuskUniversity Exactly,13121,585,2022-11-15 17:15:03+00:00
67,elonmusk,@schrep Server control team knows because they stop working from time to time. That’s why they have the “critical 40” list.,2447,109,2022-11-15 17:10:29+00:00
68,elonmusk,"@schrep True. Server side can (and has been) brute-forced, but that can’t solve weak Internet connections &amp; older phones.

Worth noting that Twitter in India &amp; many other countries is slow even on latest iPhone.",2338,149,2022-11-15 17:09:10+00:00
69,elonmusk,"@WholeMarsBlog Starlink is rebuilding the Internet in space, so maybe I know slightly more than some guy who wrote code for a website",127263,8393,2022-11-15 17:04:47+00:00
70,elonmusk,"@schrep There are ~1200 “microservices” server side, of which ~40 are critical to Twitter working at all, according to server control team. 

Trimming down that 1200 number, reducing data usage, serialized trips &amp; simplifying app are all needed to improve speed of use.",2623,202,2022-11-15 16:53:12+00:00
71,elonmusk,"@schrep Twitter is very slow in India, Indonesia &amp; many other countries. This is fact, not “claim”.

10 to 15 secs to refresh homeline tweets is common. Sometimes, it doesn’t work at all, especially on Android phones.

Only question is how much delay is due to bandwidth/latency/app.",21037,1568,2022-11-15 16:44:31+00:00
72,elonmusk,@Umbisam Mr. Munger’s words are much appreciated,30162,1369,2022-11-15 16:33:15+00:00
73,elonmusk,@mayemusk @Twitter @instagram @Fidias0 🤗,11056,476,2022-11-15 16:28:12+00:00
74,elonmusk,@minliangtan @wlopwangling Malenia battle was next-level intense,3465,155,2022-11-15 10:25:50+00:00
75,elonmusk,"@minliangtan @wlopwangling Yes, although it seemed almost impossible at times",3577,130,2022-11-15 10:25:06+00:00
76,elonmusk,@waitbutwhy The ratings on this simulation are incredible,28686,1273,2022-11-15 10:23:22+00:00
77,elonmusk,@wlopwangling Definitely,25202,846,2022-11-15 10:17:39+00:00
78,elonmusk,@Popeska @sampullara Why is Twitter unusably slow in many countries? Seems odd that this would be bandwidth only.,2860,189,2022-11-15 10:14:19+00:00
79,elonmusk,"@micsolana Yeah, I hate it",4323,154,2022-11-15 09:39:59+00:00
80,elonmusk,"By the People,
For the People",237361,19431,2022-11-15 09:35:35+00:00
81,elonmusk,Twitter is All the News,417176,30686,2022-11-15 09:19:19+00:00
82,elonmusk,"@NASASpaceflight Next test is ~20 sec firing with max oxygen fill to test autogenous pressurization, possibly one more static fire, then orbital launch attempt",10285,793,2022-11-15 08:58:48+00:00
83,elonmusk,@NASASpaceflight Test went well,24285,1097,2022-11-15 08:30:43+00:00
84,elonmusk,@ChrisJBakke @TrungTPhan @nytimes 🤩,8207,277,2022-11-15 04:09:06+00:00
85,elonmusk,@_corywynn_ @TrungTPhan 🤣,2550,87,2022-11-15 03:29:18+00:00
86,elonmusk,@TrungTPhan Why the puff piece @nytimes?,99014,8632,2022-11-15 03:27:51+00:00
87,elonmusk,@WholeMarsBlog Good question,10052,492,2022-11-14 20:42:32+00:00
88,elonmusk,@cb_doge Did seem a little Dr Evil tbh haha,61000,2212,2022-11-14 20:35:10+00:00
89,elonmusk,"@alexeheath This is an external analysis, not from Twitter. It is lower than Twitter’s published mDAU.",7569,269,2022-11-14 20:34:15+00:00
90,elonmusk,Sìì! https://t.co/Gj1wHytJxk,46671,3050,2022-11-14 20:32:17+00:00
91,elonmusk,@NASASpaceflight Full test duration of 14 engines,29677,1824,2022-11-14 18:56:24+00:00
92,elonmusk,Recent trend is promising https://t.co/0q7UdxSkbM,128614,8141,2022-11-14 18:49:43+00:00
93,elonmusk,@nichegamer @abhiharry726 @sampullara That’s what I said!,3867,141,2022-11-14 16:01:11+00:00
94,elonmusk,"@abhiharry726 @sampullara In some parts of the world, refresh takes 30 seconds",1758,85,2022-11-14 15:34:42+00:00
95,elonmusk,@Popeska @sampullara How many serial requests are made by app to refresh timeline?,2226,108,2022-11-14 15:33:05+00:00
96,elonmusk,@sampullara And we will finally stop adding what device a tweet was written on (waste of screen space &amp; compute) below every tweet. Literally no one even knows why we did that …,30829,2730,2022-11-14 15:29:53+00:00
97,elonmusk,@sampullara Part of today will be turning off the “microservices” bloatware. Less than 20% are actually needed for Twitter to work!,9712,800,2022-11-14 15:27:45+00:00
98,elonmusk,"@sampullara I was told ~1200 RPCs independently by several engineers at Twitter, which matches # of microservices. The ex-employee is wrong.

Same app in US takes ~2 secs to refresh (too long), but ~20 secs in India, due to bad batching/verbose comms. Actually useful data transferred is low.",8168,549,2022-11-14 15:22:42+00:00
99,elonmusk,@mishaboar @MattWallace888 That is not good,4754,288,2022-11-14 14:54:03+00:00
100,elonmusk,@SeagerKershaw @KoguanLeo @hiromichimizuno This is up to the Tesla board,3507,206,2022-11-14 14:48:09+00:00
101,elonmusk,@leandroruschel @rmotta2 Can you cite specific instances of significance?,27957,2453,2022-11-14 14:19:19+00:00
102,elonmusk,@Alpsoy66 @EricFrohnhoefer @MEAInd I have Tesla covered too. Will be there part of this week.,3868,222,2022-11-14 14:17:47+00:00
103,elonmusk,@dogeofficialceo @EricFrohnhoefer @MEAInd That’s the bizarre part,3047,133,2022-11-14 14:16:36+00:00
104,elonmusk,@sselrehtaef 🤣💯,3644,92,2022-11-14 14:15:41+00:00
105,elonmusk,@helvio @rmotta2 How was it proven?,8002,550,2022-11-14 14:08:03+00:00
106,elonmusk,"@MattWallace888 Yay, he’s investing in Tesla!",83954,3608,2022-11-14 14:07:06+00:00
107,elonmusk,@TaraBull808 @MarioNawfal @KimDotcom @RealChetBLong @favrue3 @cvpayne @AlderLaneEggs @bennyjohnson @catturd2 @RealCandaceO A question worth asking,87408,8140,2022-11-14 14:03:46+00:00
108,elonmusk,@EricFrohnhoefer @MEAInd I’m ready through the list right now,3642,137,2022-11-14 14:02:42+00:00
109,elonmusk,"@EricFrohnhoefer @MEAInd True, the food is great. 

The fact that you don’t realize that there are up to 1200 “microservices” being called when someone uses the Twitter app is not great.",4562,254,2022-11-14 14:02:01+00:00
110,elonmusk,@FBIPantyRaid @ThisIsKyleR Interesting,2522,112,2022-11-14 13:58:36+00:00
